Juz,Surah,Aayah,pageNum,lineNum,text,Tag,Quarter
1,1,-2,1,1,سُوۡرَۃُ الفاتحۃ,1,<null>
1,1,-1,1,2,بِسۡمِ اللّٰہِ الرَّحۡمٰنِ الرَّحِیۡمِ,2,<null>
1,1,2,1,3,اَلۡحَمۡدُ          لِلّٰہِ          رَبِّ          الۡعٰلَمِیۡنَ          ۙؖ﴿۱﴾,0,<null>
1,1,3,1,3,         الرَّحۡمٰنِ,0,<null>
1,1,3,1,4,الرَّحِیۡمِ ۙؖ﴿۲﴾,0,<null>
1,1,4,1,4, مٰلِکِ یَوۡمِ الدِّیۡنِ ؕؖ﴿۳﴾,0,<null>
1,1,5,1,4, اِیَّاکَ نَعۡبُدُ,0,<null>
1,1,5,1,5,وَ         اِیَّاکَ         نَسۡتَعِیۡنُ         ؕؖ﴿۴﴾,0,<null>
1,1,6,1,5,         اِہۡدِ        نَا        الصِّرَاطَ,0,<null>
1,1,6,1,6,الۡمُسۡتَقِیۡمَ   ۙؖ﴿۵﴾,0,<null>
1,1,7,1,6,   صِرَاطَ   الَّذِیۡنَ  اَنۡعَمۡتَ  عَلَیۡہِمۡ ۙ۬,0,<null>
1,1,7,1,7,غَیۡرِ       الۡمَغۡضُوۡبِ       عَلَیۡہِمۡ       وَ      لَا      الضَّآلِّیۡنَ      ٪﴿۷﴾,0,<null>
1,2,-2,2,2,سُوۡرَۃُ البقرۃ,1,<null>
1,2,-1,2,3,بِسۡمِ اللّٰہِ الرَّحۡمٰنِ الرَّحِیۡمِ,2,<null>
1,2,1,2,4,الٓـمّٓ   ۚؖ﴿۱﴾,0,<null>
1,2,2,2,4,   ذٰلِکَ   الۡکِتٰبُ   لَا  رَیۡبَ ۚۖۛ  فِیۡہِ ۚۛ  ہُدًی,0,<null>
1,2,2,2,5,لِّلۡمُتَّقِیۡنَ     ۙؖ﴿۲﴾,0,<null>
1,2,3,2,5,     الَّذِیۡنَ     یُؤۡمِنُوۡنَ     بِالۡغَیۡبِ    وَ,0,<null>
1,2,3,2,6,یُقِیۡمُوۡنَ  الصَّلٰوۃَ  وَ  مِمَّا  رَزَقۡنٰہُمۡ  یُنۡفِقُوۡنَ  ۙؖ﴿۳﴾,0,<null>
1,2,4,2,7,وَ       الَّذِیۡنَ       یُؤۡمِنُوۡنَ      بِمَاۤ      اُنۡزِلَ      اِلَیۡکَ      وَ      مَاۤ,0,<null>
