Tag,PageNum,Juz,Surah,Aayah,LineNum,Text,Quarter
1,1,1,1,-2,1,ﮌ ﮍ,1
2,1,1,1,-1,2, ﭑ  ﭒ  ﭓ  ﴿۱﴾,1
0,1,1,1,2,3, ﭖ  ﭗ  ﭘ  ﭙ  ﴿۲﴾ ,1
0,1,1,1,3,4, ﭛ  ﭜ  ﴿۳﴾ ,1
0,1,1,1,4,4, ﭞ  ﭟ  ﭠ  ﴿۴﴾ ,1
0,1,1,1,5,5, ﭢ  ﭣ  ﭤ  ﭥ  ﴿۵﴾ ,1
0,1,1,1,6,5, ﭧ ,1
0,1,1,1,6,6, ﭨ  ﭩ  ﴿۶﴾ ,1
0,1,1,1,7,6, ﭫ  ﭬ  ﭭ ,1
0,1,1,1,7,7, ﭮ  ﭯ  ﭰ  ﭱ ,1
0,1,1,1,7,8, ﭲ  ﭳ  ﴿۷﴾ ,1
1,2,1,2,-2,1,ﮌ ﮎ,1
2,2,1,2,-1,2,ﭑ  ﭒ  ﭓ,1
0,2,1,2,1,3, ﭑ  ﴿۱﴾ ,1
0,2,1,2,2,3, ﭓ  ﭔ  ﭕ  ﭖ  ﭗ  ﭘ  ﭙ  ﭚ ,1
0,2,1,2,2,4, ﭛ  ﴿۲﴾ ,1
0,2,1,2,3,4, ﭝ  ﭞ  ﭟ  ﭠ  ﭡ ,1
0,2,1,2,3,5, ﭢ  ﭣ  ﭤ  ﴿۳﴾ ,1
0,2,1,2,4,5, ﭦ  ﭧ  ﭨ  ﭩ ,1
0,2,1,2,4,6, ﭪ  ﭫ  ﭬ  ﭭ  ﭮ  ﭯ  ﭰ  ﭱ  ﴿۴﴾ ,1
0,2,1,2,5,7, ﭳ  ﭴ  ﭵ  ﭶ  ﭷ  ﭸ  ﭹ ,1
0,2,1,2,5,8, ﭺ  ﭻ  ﴿۵﴾ ,1
0,3,1,2,6,1, ﭑ  ﭒ  ﭓ  ﭔ  ﭕ  ﭖ  ﭗ  ﭘ  ﭙ ,1
0,3,1,2,6,2, ﭚ  ﭛ  ﴿۶﴾ ,1
0,3,1,2,7,2, ﭝ  ﭞ  ﭟ  ﭠ  ﭡ  ﭢ  ﭣ  ﭤ ,1
0,3,1,2,7,3, ﭥ  ﭦ  ﭧ  ﭨ  ﭩ  ﭪ  ﴿۷﴾ ,1
0,3,1,2,8,3, ﭬ  ﭭ ,1
0,3,1,2,8,4, ﭮ  ﭯ  ﭰ  ﭱ  ﭲ  ﭳ  ﭴ  ﭵ  ﭶ  ﴿۸﴾ ,1
0,3,1,2,9,5, ﭸ  ﭹ  ﭺ  ﭻ  ﭼ  ﭽ  ﭾ  ﭿ ,1
0,3,1,2,9,6, ﮀ  ﮁ  ﴿۹﴾ ,1
0,3,1,2,10,6, ﮃ  ﮄ  ﮅ  ﮆ  ﮇ  ﮈ  ﮉ ,1
0,3,1,2,10,7, ﮊ  ﮋ  ﮌ  ﮍ  ﮎ  ﮏ  ﴿۱۰﴾ ,1
0,3,1,2,11,7, ﮑ  ﮒ  ﮓ ,1
0,3,1,2,11,8, ﮔ  ﮕ  ﮖ  ﮗ  ﮘ  ﮙ  ﮚ  ﮛ  ﴿۱۱﴾ ,1
0,3,1,2,12,9, ﮝ  ﮞ  ﮟ  ﮠ  ﮡ  ﮢ  ﮣ  ﴿۱۲﴾ ,1
0,3,1,2,13,9, ﮥ  ﮦ ,1
0,3,1,2,13,10, ﮧ  ﮨ  ﮩ  ﮪ  ﮫ  ﮬ  ﮭ  ﮮ  ﮯ  ﮰ  ﮱ ,1
0,3,1,2,13,11, ﯓ  ﯔ  ﯕ  ﯖ  ﯗ  ﯘ  ﯙ  ﴿۱۳﴾ ,1
0,3,1,2,14,11, ﯛ  ﯜ ,1
0,3,1,2,14,12, ﯝ  ﯞ  ﯟ  ﯠ  ﯡ  ﯢ  ﯣ  ﯤ  ﯥ  ﯦ ,1
0,3,1,2,14,13, ﯧ  ﯨ  ﯩ  ﯪ  ﴿۱۴﴾ ,1
0,3,1,2,15,13, ﯬ  ﯭ  ﯮ  ﯯ ,1
0,3,1,2,15,14, ﯰ  ﯱ  ﯲ  ﴿۱۵﴾ ,1
0,3,1,2,16,14, ﯴ  ﯵ  ﯶ  ﯷ ,1
0,3,1,2,16,15, ﯸ  ﯹ  ﯺ  ﯻ  ﯼ  ﯽ  ﯾ  ﴿۱۶﴾ ,1
0,4,1,2,17,1, ﭑ  ﭒ  ﭓ  ﭔ  ﭕ  ﭖ  ﭗ  ﭘ  ﭙ ,1
0,4,1,2,17,2, ﭚ  ﭛ  ﭜ  ﭝ  ﭞ  ﭟ  ﭠ  ﭡ  ﴿۱۷﴾ ,1
0,4,1,2,18,2, ﭣ ,1
0,4,1,2,18,3, ﭤ  ﭥ  ﭦ  ﭧ  ﭨ  ﴿۱۸﴾ ,1
0,4,1,2,19,3, ﭪ  ﭫ  ﭬ  ﭭ  ﭮ ,1
0,4,1,2,19,4, ﭯ  ﭰ  ﭱ  ﭲ  ﭳ  ﭴ  ﭵ  ﭶ  ﭷ ,1
0,4,1,2,19,5, ﭸ  ﭹ  ﭺ  ﭻ  ﭼ  ﭽ  ﴿۱۹﴾ ,1
0,4,1,2,20,5, ﭿ  ﮀ  ﮁ ,1
0,4,1,2,20,6, ﮂ  ﮃ  ﮄ  ﮅ  ﮆ  ﮇ  ﮈ  ﮉ  ﮊ  ﮋ  ﮌ  ﮍ ,1
0,4,1,2,20,7, ﮎ  ﮏ  ﮐ  ﮑ  ﮒ  ﮓ  ﮔ  ﮕ  ﮖ  ﮗ  ﮘ ,1
0,4,1,2,20,8, ﮙ  ﮚ  ﴿۲۰﴾ ,1
0,4,1,2,21,8, ﮜ  ﮝ  ﮞ  ﮟ  ﮠ  ﮡ ,1
0,4,1,2,21,9, ﮢ  ﮣ  ﮤ  ﮥ  ﮦ  ﴿۲۱﴾ ,1
0,4,1,2,22,9, ﮨ  ﮩ  ﮪ ,1
0,4,1,2,22,10, ﮫ  ﮬ  ﮭ  ﮮ  ﮯ  ﮰ  ﮱ  ﯓ  ﯔ ,1
0,4,1,2,22,11, ﯕ  ﯖ  ﯗ  ﯘ  ﯙ  ﯚ  ﯛ  ﯜ  ﯝ  ﯞ  ﯟ ,1
0,4,1,2,22,12, ﯠ  ﴿۲۲﴾ ,1
0,4,1,2,23,12, ﯢ  ﯣ  ﯤ  ﯥ  ﯦ  ﯧ  ﯨ  ﯩ ,1
0,4,1,2,23,13, ﯪ  ﯫ  ﯬ  ﯭ  ﯮ  ﯯ  ﯰ  ﯱ  ﯲ ,1
0,4,1,2,23,14, ﯳ  ﯴ  ﯵ  ﴿۲۳﴾ ,1
0,4,1,2,24,14, ﯷ  ﯸ  ﯹ  ﯺ  ﯻ  ﯼ ,1
0,4,1,2,24,15, ﯽ  ﯾ  ﯿ  ﰀ  ﰁ  ﰂ  ﰃ  ﰄ  ﴿۲۴﴾ ,1
0,5,1,2,25,1, ﭑ  ﭒ  ﭓ  ﭔ  ﭕ  ﭖ  ﭗ  ﭘ ,1
